	country	designation		points	price	province	variety		winery	
0	US	Martha's Vineyard	96	235	California	Cabernet Sauvignon	Heitz	
1	Spain	Carodorum Selección Especial Reserva	96	110	Northern Spain	Tinta de Toro	Bodega Carmen Rodríguez	
2	US	Special Selected Late Harvest	96	90	California	Sauvignon Blanc	Macauley	
3	US	Reserve	96	65	Oregon	Pinot Noir	Ponzi	
4	France	La Brûlade	95	66	Provence	Provence red blend	Domaine de la Bégude	
5	Spain	Numanthia	95	73	Northern Spain	Tinta de Toro	Numanthia	
6	Spain	San Román	95	65	Northern Spain	Tinta de Toro	Maurodos	
7	Spain	Carodorum Único Crianza	95	110	Northern Spain	Tinta de Toro	Bodega Carmen Rodríguez	
8	US	Silice	95	65	Oregon	Pinot Noir	Bergström	
9	US	Gap's Crown Vineyard	95	60	California	Pinot Noir	Blue Farm	
10	Italy	Ronco della Chiesa	95	80	Northeastern Italy	Friulano	Borgo del Tiglio	
11	US	Estate Vineyard Wadensvil Block	95	48	Oregon	Pinot Noir	Patricia Green Cellars	
12	US	Weber Vineyard	95	48	Oregon	Pinot Noir	Patricia Green Cellars	
13	France	Château Montus Prestige	95	90	Southwest France	Tannat	Vignobles Brumont	
14	US	Grace Vineyard	95	185	Oregon	Pinot Noir	Domaine Serene	
15	US	Sigrid	95	90	Oregon	Chardonnay	Bergström	
16	US	Rainin Vineyard	95	325	California	Cabernet Sauvignon	Hall	
17	Spain	6 Años Reserva Premium	95	80	Northern Spain	Tempranillo	Valduero	
18	France	Le Pigeonnier	95	290	Southwest France	Malbec	Château Lagrézette	
19	US	Gap's Crown Vineyard	95	75	California	Pinot Noir	Gary Farrell	
20	US	Grignolino	95	24	California	Rosé	Heitz	
21	Spain	Prado Enea Gran Reserva	95	79	Northern Spain	Tempranillo Blend	Muga	
22	Spain	Termanthia	95	220	Northern Spain	Tinta de Toro	Numanthia	
23	US	Giallo Solare	95	60	California	Chardonnay	Center of Effort	
24	US	R-Bar-R Ranch	95	45	California	Pinot Noir	Comartin	
25	New Zealand	Maté's Vineyard	94	57	Kumeu	Chardonnay	Kumeu River	
26	US	Shea Vineyard	94	62	Oregon	Pinot Noir	Bergström	
27	US	Abetina	94	105	Oregon	Pinot Noir	Ponzi	
28	US	Garys' Vineyard	94	60	California	Pinot Noir	Roar	
29	US	The Funk Estate	94	60	Washington	Syrah	Saviah	
30	Bulgaria	Bergulé	90	15	Bulgaria	Mavrud	Villa Melnik	
31	US	Babushka	90	37	California	Chardonnay	Zepaltas	
32	Italy	Vigna Piaggia	90		Tuscany	Sangiovese	Abbadia Ardenga	
33	France	Nonpareil Trésor Rosé Brut	90	22	France Other	Sparkling Blend	Bouvet-Ladubay	
34	US	Conner Lee Vineyard	90	42	Washington	Chardonnay	Buty	
35	Italy	Riserva	90	135	Tuscany	Sangiovese	Carillon	
36	France		90	60	Rhône Valley	Rhône-style White Blend	Clos de L'Oratoire des Papes	
37	Italy		90	29	Tuscany	Sangiovese	Avignonesi	
38	Italy		90	23	Tuscany	Sangiovese	Casina di Cornia	
39	Italy	Riserva	90	29	Tuscany	Red Blend	Castello di Monterinaldi	
40	Spain	Amandi	90	17	Galicia	Mencía	Don Bernardino	
41	Spain	Alfonso Oloroso Seco	90	26	Andalucia	Palomino	González Byass	
42	US	Private Reserve	90	55	Idaho	Petite Sirah	Huston	
43	Italy	Riserva	90	39	Tuscany	Red Blend	Rignana	
44	France	Coteaux	90	69	Rhône Valley	Syrah	Tardieu-Laurent	
45	Italy	Vigneto Odoardo Beccari Riserva	90	30	Tuscany	Red Blend	Vignavecchia	
46	Italy	Poggio alle Mura	90	90	Tuscany	Sangiovese	Banfi	
47	US	Estate Grown	90	60	California	Cabernet Sauvignon	Brandlin	
48	Italy		90	50	Tuscany	Sangiovese	Brunelli Martoccia	
49	US		90	40	Washington	Cabernet Sauvignon	Canvasback	
50	Italy	Riserva	90	100	Tuscany	Sangiovese	Capanne Ricci	
51	France		90	68	Burgundy	Chardonnay	Chartron et Trébuchet	
